Date,Mode,Value
1/03/2024,Metropolitan tram,14840535
1/04/2024,Metropolitan tram,14241713
1/05/2024,Metropolitan tram,13914626
1/06/2024,Metropolitan tram,11656478
1/07/2024,Metropolitan tram,13019738
1/08/2024,Metropolitan tram,13714916
1/09/2024,Metropolitan tram,11695377
1/10/2024,Metropolitan tram,14575255
1/11/2024,Metropolitan tram,13548253
1/12/2024,Metropolitan tram,13101396
1/01/2025,Metropolitan tram,12523366
1/02/2025,Metropolitan tram,13058985
1/03/2025,Metropolitan tram,15300456
1/04/2025,Metropolitan tram,13414808
1/05/2025,Metropolitan tram,14443916
1/06/2025,Metropolitan tram,11792860
1/01/2018,Metropolitan bus,7568547
1/02/2018,Metropolitan bus,10487311
1/03/2018,Metropolitan bus,11528895
1/04/2018,Metropolitan bus,9592750
1/05/2018,Metropolitan bus,11263486
1/06/2018,Metropolitan bus,9526795
1/07/2018,Metropolitan bus,9657327
1/08/2018,Metropolitan bus,11756706
1/09/2018,Metropolitan bus,9878596
1/10/2018,Metropolitan bus,11233979
1/11/2018,Metropolitan bus,10367915
1/12/2018,Metropolitan bus,7941245
1/01/2019,Metropolitan bus,7845144
1/02/2019,Metropolitan bus,10105546
1/03/2019,Metropolitan bus,11775566
1/04/2019,Metropolitan bus,9667587
1/05/2019,Metropolitan bus,12082141
1/06/2019,Metropolitan bus,9515676
1/07/2019,Metropolitan bus,10417277
1/08/2019,Metropolitan bus,11485155
1/09/2019,Metropolitan bus,10238956
1/10/2019,Metropolitan bus,11294945
1/11/2019,Metropolitan bus,10405336
1/12/2019,Metropolitan bus,8858522
1/01/2020,Metropolitan bus,8369145
1/02/2020,Metropolitan bus,10407862
1/03/2020,Metropolitan bus,7600641
1/04/2020,Metropolitan bus,1507175
1/05/2020,Metropolitan bus,2539068
1/06/2020,Metropolitan bus,4752862
1/07/2020,Metropolitan bus,3170618
1/08/2020,Metropolitan bus,1793958
1/09/2020,Metropolitan bus,2038847
1/10/2020,Metropolitan bus,3769166
1/11/2020,Metropolitan bus,5795635
1/12/2020,Metropolitan bus,5885341
1/01/2021,Metropolitan bus,4805284
1/02/2021,Metropolitan bus,5617752
1/03/2021,Metropolitan bus,7645169
1/04/2021,Metropolitan bus,6628991
1/05/2021,Metropolitan bus,6962665
1/06/2021,Metropolitan bus,4452322
1/07/2021,Metropolitan bus,4722392
1/08/2021,Metropolitan bus,3102190
1/09/2021,Metropolitan bus,2405774
1/10/2021,Metropolitan bus,3435761
1/11/2021,Metropolitan bus,6453897
1/12/2021,Metropolitan bus,5912880
1/01/2022,Metropolitan bus,4124071
1/02/2022,Metropolitan bus,6205045
1/03/2022,Metropolitan bus,8476974
1/04/2022,Metropolitan bus,6870377
1/05/2022,Metropolitan bus,7779324
1/06/2022,Metropolitan bus,6943793
1/07/2022,Metropolitan bus,7332966
1/08/2022,Metropolitan bus,8338393
1/09/2022,Metropolitan bus,7472155
1/10/2022,Metropolitan bus,8156542
1/11/2022,Metropolitan bus,8312554
1/12/2022,Metropolitan bus,7434002
1/01/2023,Metropolitan bus,7090984
1/02/2023,Metropolitan bus,8608284
1/03/2023,Metropolitan bus,10301621
1/04/2023,Metropolitan bus,8124564
1/05/2023,Metropolitan bus,9848630
1/06/2023,Metropolitan bus,8635816
1/07/2023,Metropolitan bus,9219892
1/08/2023,Metropolitan bus,10304037
1/09/2023,Metropolitan bus,9260131
1/10/2023,Metropolitan bus,10083249
1/11/2023,Metropolitan bus,9872183
1/12/2023,Metropolitan bus,8548817
1/01/2024,Metropolitan bus,8335210
1/02/2024,Metropolitan bus,10441479
1/03/2024,Metropolitan bus,10596736
1/04/2024,Metropolitan bus,9271098
1/05/2024,Metropolitan bus,10256661
1/06/2024,Metropolitan bus,8706404
1/07/2024,Metropolitan bus,9829583
1/08/2024,Metropolitan bus,10737761
1/09/2024,Metropolitan bus,9188549
1/10/2024,Metropolitan bus,10555383
1/11/2024,Metropolitan bus,9323924
1/12/2024,Metropolitan bus,8687979
1/01/2025,Metropolitan bus,8183939
1/02/2025,Metropolitan bus,9179004
1/03/2025,Metropolitan bus,10650660
1/04/2025,Metropolitan bus,9353277
1/05/2025,Metropolitan bus,10384586
1/06/2025,Metropolitan bus,8809813
1/01/2018,Regional train,1466256
1/02/2018,Regional train,1522981
1/03/2018,Regional train,1809774
1/04/2018,Regional train,1684827
1/05/2018,Regional train,1790656
1/06/2018,Regional train,1535636
1/07/2018,Regional train,1799245
1/08/2018,Regional train,1845673
1/09/2018,Regional train,1676490
1/10/2018,Regional train,1872410
1/11/2018,Regional train,1755492
1/12/2018,Regional train,1534399
1/01/2019,Regional train,1532342
1/02/2019,Regional train,1676391
1/03/2019,Regional train,1916630
1/04/2019,Regional train,1722745
1/05/2019,Regional train,2007166
1/06/2019,Regional train,1704331
1/07/2019,Regional train,1898701
1/08/2019,Regional train,1981136
1/09/2019,Regional train,1805116
1/10/2019,Regional train,1927784
1/11/2019,Regional train,1728907
1/12/2019,Regional train,1648394
1/01/2020,Regional train,1684792
1/02/2020,Regional train,1771293
1/03/2020,Regional train,1252698
1/04/2020,Regional train,245905
1/05/2020,Regional train,374640
1/06/2020,Regional train,580767
1/07/2020,Regional train,425103
1/08/2020,Regional train,222256
1/09/2020,Regional train,257723
1/10/2020,Regional train,365653
1/11/2020,Regional train,593115
1/12/2020,Regional train,894120
1/01/2021,Regional train,738979
1/02/2021,Regional train,759259
1/03/2021,Regional train,1182831
1/04/2021,Regional train,1199886
1/05/2021,Regional train,1117254
1/06/2021,Regional train,624054
1/07/2021,Regional train,688891
1/08/2021,Regional train,444102
1/09/2021,Regional train,257172
1/10/2021,Regional train,376222
1/11/2021,Regional train,759913
1/12/2021,Regional train,994159
1/01/2022,Regional train,675856
1/02/2022,Regional train,865020
1/03/2022,Regional train,1298156
1/04/2022,Regional train,1220454
1/05/2022,Regional train,1288118
1/06/2022,Regional train,1239135
1/07/2022,Regional train,1314106
1/08/2022,Regional train,1349992
1/09/2022,Regional train,1378784
1/10/2022,Regional train,1388467
1/11/2022,Regional train,1366061
1/12/2022,Regional train,1372918
1/01/2023,Regional train,1295225
1/02/2023,Regional train,1424645
1/03/2023,Regional train,1869164
1/04/2023,Regional train,1469224
1/05/2023,Regional train,1743181
1/06/2023,Regional train,1693444
1/07/2023,Regional train,1846565
1/08/2023,Regional train,1807251
1/09/2023,Regional train,1775964
1/10/2023,Regional train,1849701
1/11/2023,Regional train,1808656
1/12/2023,Regional train,1759529
1/01/2024,Regional train,1758433
1/02/2024,Regional train,1781717
1/03/2024,Regional train,2042080
1/04/2024,Regional train,2009412
1/05/2024,Regional train,2164662
1/06/2024,Regional train,1882061
1/07/2024,Regional train,2084437
1/08/2024,Regional train,2122092
1/09/2024,Regional train,1970804
1/10/2024,Regional train,2277335
1/11/2024,Regional train,2001615
1/12/2024,Regional train,1977501
1/01/2025,Regional train,1923083
1/02/2025,Regional train,1927292
1/03/2025,Regional train,2340160
1/04/2025,Regional train,2107410
1/05/2025,Regional train,2334482
1/06/2025,Regional train,1995473
1/01/2018,Regional coach,116568
1/02/2018,Regional coach,103197
1/03/2018,Regional coach,117180
1/04/2018,Regional coach,107480
1/05/2018,Regional coach,109456
1/06/2018,Regional coach,101215
1/07/2018,Regional coach,109103
1/08/2018,Regional coach,110348
1/09/2018,Regional coach,104525
1/10/2018,Regional coach,121267
1/11/2018,Regional coach,111699
1/12/2018,Regional coach,113023
1/01/2019,Regional coach,110708
1/02/2019,Regional coach,103886
1/03/2019,Regional coach,112302
1/04/2019,Regional coach,111012
1/05/2019,Regional coach,111604
1/06/2019,Regional coach,98137
1/07/2019,Regional coach,108706
1/08/2019,Regional coach,107987
1/09/2019,Regional coach,104419
1/10/2019,Regional coach,115819
1/11/2019,Regional coach,106782
1/12/2019,Regional coach,110447
1/01/2020,Regional coach,105751
1/02/2020,Regional coach,99955
1/03/2020,Regional coach,74665
1/04/2020,Regional coach,17602
1/05/2020,Regional coach,29670
1/06/2020,Regional coach,51732
1/07/2020,Regional coach,41425
1/08/2020,Regional coach,17890
1/09/2020,Regional coach,23051
1/10/2020,Regional coach,36990
1/11/2020,Regional coach,51260
1/12/2020,Regional coach,74068
1/01/2021,Regional coach,60026
1/02/2021,Regional coach,54099
1/03/2021,Regional coach,75765
1/04/2021,Regional coach,75002
1/05/2021,Regional coach,66206
1/06/2021,Regional coach,46233
1/07/2021,Regional coach,45599
1/08/2021,Regional coach,33264
1/09/2021,Regional coach,23838
1/10/2021,Regional coach,33948
1/11/2021,Regional coach,55165
1/12/2021,Regional coach,67426
1/01/2022,Regional coach,51750
1/02/2022,Regional coach,57210
1/03/2022,Regional coach,73664
1/04/2022,Regional coach,73735
1/05/2022,Regional coach,71603
1/06/2022,Regional coach,70919
1/07/2022,Regional coach,75239
1/08/2022,Regional coach,74401
1/09/2022,Regional coach,74648
1/10/2022,Regional coach,68919
1/11/2022,Regional coach,74053
1/12/2022,Regional coach,85612
1/01/2023,Regional coach,84946
1/02/2023,Regional coach,77949
1/03/2023,Regional coach,88964
1/04/2023,Regional coach,89335
1/05/2023,Regional coach,95859
1/06/2023,Regional coach,94894
1/07/2023,Regional coach,99755
1/08/2023,Regional coach,98413
1/09/2023,Regional coach,100982
1/10/2023,Regional coach,106717
1/11/2023,Regional coach,104648
1/12/2023,Regional coach,111120
1/01/2024,Regional coach,113350
1/02/2024,Regional coach,104337
1/03/2024,Regional coach,112283
1/04/2024,Regional coach,114813
1/05/2024,Regional coach,109868
1/06/2024,Regional coach,104351
1/07/2024,Regional coach,110936
1/08/2024,Regional coach,108656
1/09/2024,Regional coach,107465
1/10/2024,Regional coach,126770
1/11/2024,Regional coach,112359
1/12/2024,Regional coach,121320
1/01/2025,Regional coach,122422
1/02/2025,Regional coach,104244
1/03/2025,Regional coach,119824
1/04/2025,Regional coach,116481
1/05/2025,Regional coach,111430
1/06/2025,Regional coach,110283
1/01/2018,Regional bus,721229
1/02/2018,Regional bus,1118494
1/03/2018,Regional bus,1224816
1/04/2018,Regional bus,946218
1/05/2018,Regional bus,1258704
1/06/2018,Regional bus,1077970
1/07/2018,Regional bus,967622
1/08/2018,Regional bus,1261319
1/09/2018,Regional bus,1033758
1/10/2018,Regional bus,1232418
1/11/2018,Regional bus,1182863
1/12/2018,Regional bus,878944
1/01/2019,Regional bus,748369
1/02/2019,Regional bus,1201991
1/03/2019,Regional bus,1232933
1/04/2019,Regional bus,961318
1/05/2019,Regional bus,1287180
